t_meas_s,lat_deg,lon_deg,alt_m,pitch_rad,roll_rad,heading_rad,v_e_mps,v_n_mps,v_u_mps
0.0,42.885262393129764,-8.411427348551893,171.00866908223665,-0.013797948405131608,0.009559492569185328,6.0914795482429716,-0.004629648998885356,-0.0008555205456230829,-4.1835343619447744e-05
0.05,42.88526239274472,-8.411427351385397,171.00866699046946,-0.013802793527906462,0.00923573688482184,6.091479268955105,-0.006185906655098754,-0.0011259000469849769,-9.736704617543963e-06
0.1,42.88526239223799,-8.411427355171387,171.00866650363423,-0.013808562194800882,0.008945078474981421,6.091481780452884,-0.002851628684941819,-0.0005019163576001149,2.733926911302801e-05
0.15,42.885262392012095,-8.411427356916683,171.0086678705977,-0.0138112950055477,0.008875760227798202,6.091485848683934,0.0006383007647062193,0.00013162303144962866,2.2592164620286397e-05
0.2,42.88526239207133,-8.411427356526021,171.0086690002059,-0.013811524893077704,0.008935360193796536,6.091487122562942,0.0018096963753590843,0.0003291110487521887,2.326442869227667e-07
0.25,42.88526239221946,-8.411427355418423,171.00866901183812,-0.0138105952075169,0.009024736695408564,6.091485921504468,0.0015292526229907146,0.00025757995186560654,-1.0150463023143135e-05
0.3,42.88526239233539,-8.411427354482468,171.00866850431498,-0.01380985299785439,0.009071479041876988,6.091484756136764,0.001167228217296684,0.00017771442039032903,-1.8166572453159462e-05
0.35,42.88526239241538,-8.411427353768083,171.00866759598637,-0.01380802761430441,0.00914203322230691,6.0914829451614745,-0.0004871204287614673,-0.0001352400330919231,-3.540920983969946e-05
0.4,42.885262392354505,-8.411427354066218,171.00866582552587,-0.013807518592756036,0.00909850299587889,6.091480654805758,-0.002798728469871259,-0.0005561295513081381,-3.396141489480758e-05
0.45,42.88526239210421,-8.411427355779137,171.00866412745512,-0.013808031819618549,0.009004891491722901,6.091479475983442,-0.0038143632201862185,-0.000730583923714843,-1.4697114856263902e-05
0.5,42.8852623917754,-8.41142735811366,171.00866339259937,-0.013809280323773796,0.008901501023539034,6.091478959747845,-0.0027841216619231917,-0.0005259281725239026,1.3032229151845389e-05
0.55,42.885262391538696,-8.411427359817639,171.00866404421083,-0.01381072046726603,0.008833071491185175,6.09147923251956,-0.0005656115303068718,-0.00010320977710261515,1.1595940323454914e-05
0.6,42.88526239149225,-8.411427360163811,171.00866462400785,-0.013811624303010092,0.00882761913072331,6.091481311069133,0.001313028100770158,0.0002496629003174448,-2.5066439085123644e-07
0.65,42.88526239160461,-8.411427359360193,171.00866461147464,-0.013811771471641893,0.00888674461822423,6.091481136855659,0.0030360038963004004,0.0005631816264456635,-5.208902032252183e-06
0.7,42.885262391858085,-8.411427357502053,171.00866435102955,-0.013811109920940043,0.009001500578346106,6.091479824630961,0.004028533353788462,0.0007339150528845771,-1.035414415933422e-05
0.75,42.8852623921884,-8.41142735503645,171.00866383332234,-0.013809705985028321,0.009143784456308474,6.091477582773329,0.004790871232154057,0.00085709140554078,-3.696290378498239e-06
0.8,42.88526239257415,-8.41142735210427,171.00866364850782,-0.013807841496646461,0.009281405482834572,6.091475781043394,0.004328283201139776,0.0007568307416270211,-5.684309534767638e-06
0.85,42.88526239291478,-8.411427349455211,171.00866336429235,-0.01380587928168971,0.009392234400277857,6.091473374880474,0.0030225112825936163,0.0005048741149576342,-2.6702256747401154e-06
0.9,42.885262393142014,-8.41142734760533,171.00866323078105,-0.01380387836040626,0.009493183520817293,6.091470643729805,0.0023033710792340154,0.0003645657115187221,1.401236282947824e-05
0.95,42.88526239330609,-8.411427346195586,171.00866393139918,-0.013802345725446167,0.009561149119751346,6.091467452858675,0.0011386464994904786,0.00014899653239553004,1.9360946122243367e-05
1.0,42.88526239337315,-8.411427345498694,171.0086648994465,-0.013802152798089365,0.009545045591204004,6.091465213996448,-0.0003388251093030334,-0.00011424770099314429,1.551185617603668e-05
1.05,42.88526239332173,-8.411427345706068,171.0086656750393,-0.013803406091957161,0.00944357762089308,6.091464278747122,-0.0019828970979645986,-0.0003978930007863884,3.290167490648159e-06
1.1,42.88526239314265,-8.411427346919668,171.0086658395477,-0.013805684478964306,0.009284806868057556,6.091464901395402,-0.003724209335314591,-0.0006964125319553615,-1.8235772204196014e-06
1.15,42.88526239282922,-8.411427349199014,171.00866574836883,-0.013808997577776674,0.009081501283652624,6.091464415144507,-0.005010909043570766,-0.0009076158184878879,3.271158897096064e-06
1.20,42.88526239242073,-8.411427352265864,171.00866591192678,-0.013813478533881799,0.008858279384832059,6.091465191282192,-0.0051271822622981,-0.0009017510123576852,2.4147502790612087e-05
1.25,42.88526239201487,-8.411427355403877,171.00866711930192,-0.013818502111757782,0.00865376293361267,6.09146708277975,-0.00456803740722743,-0.0007736762626310281,3.705260131590694e-05
1.3,42.885262391666664,-8.411427358199676,171.008668971932,-0.013823553819928239,0.008490851634159685,6.091470074878162,-0.003341704987969488,-0.0005299356257971813,3.887741515779361e-05
1.35,42.88526239142816,-8.411427360244916,171.00867091580275,-0.013827951491687597,0.00839957956480565,6.091472258021949,-0.0015184056130185582,-0.00018868341696357842,3.272452844585001e-05
1.4,42.88526239134324,-8.411427361174232,171.00867255202917,-0.013831140438619908,0.008408069452043955,6.091473659402926,0.0010862866739624179,0.00028258054097721235,2.322127252334158e-05
1.45,42.88526239147042,-8.411427360509386,171.0086737130928,-0.013833044533234846,0.008457939821747236,6.09147410227618,0.001990002953055235,0.00042920268631051504,-4.24524785347472e-06
1.5,42.885262391663595,-8.411427359291435,171.0086735008304,-0.013834169366212649,0.008502959834127927,6.09147475694287,0.00176586277329435,0.000361692371807452,-3.0449948199032444e-05
1.55,42.88526239182638,-8.411427358210666,171.008671978333,-0.01383407024532879,0.008552318015752503,6.091474823921949,0.0017798571047120298,0.00033219217424597147,-2.7576773360654062e-05
1.6,42.88526239197589,-8.411427357121333,171.00867059949434,-0.013832714750273783,0.008599035424773397,6.091474223345501,0.0013065918148735779,0.00021619377115594056,-2.6306888373657964e-05
1.65,42.885262392073194,-8.411427356321653,171.00866928414993,-0.013830847310105584,0.008620360257810012,6.091472875345609,0.000484242668541852,4.569206803531797e-05,-1.8413097051885986e-05
1.70,42.88526239209376,-8.41142735602528,171.00866836349508,-0.013829418822348661,0.008604504571445574,6.091472350345485,-0.0003279033219421661,-0.00011351690588906403,-1.1049296708947438e-06
1.75,42.88526239204267,-8.411427356225968,171.0086683082486,-0.013827980709185556,0.008590498805490588,6.091472154166227,-0.0005318631748854556,-0.00015316667934986387,1.5665859411692057e-06
1.8,42.88526239197373,-8.411427356551487,171.00866838657788,-0.013826112391088627,0.008614897227201476,6.091473266141334,1.012535615566554e-05,-5.213220440130401e-05,-6.390033324770925e-06
1.85,42.88526239195026,-8.411427356545289,171.0086680670762,-0.01382366066492384,0.008698229740144954,6.0914728184651405,0.0010845737907681516,0.0001458676703947727,-1.6149123773463098e-05
1.9,42.88526239201592,-8.411427355881493,171.00866725962,-0.013821024556203501,0.008853119844915689,6.091471299421661,0.004205575481050528,0.0007116640360005062,-2.235660877680232e-05
1.95,42.885262392336216,-8.411427353307536,171.00866614178958,-0.013817815982572522,0.009018354439006126,6.091468904771848,0.0047020265475765065,0.0007949369653996994,-3.831817108394449e-05
2.0,42.885262392694,-8.411427350429731,171.00866422588103,-0.013815169781028746,0.009139338618610153,6.0914663529116835,0.004496017101986065,0.0007542427539922243,-3.369620313546376e-05
2.05,42.88526239303346,-8.411427347678012,171.0086625410709,-0.013813030326319812,0.009220502047888107,6.091463762866892,0.00467306205411431,0.0007894381855330118,-1.1929225622235745e-05
2.1,42.885262393388764,-8.411427344817938,171.0086619446096,-0.013811509555608068,0.009258771516329043,6.0914614472043525,0.0038667879499068303,0.0006519495151434349,-1.1367471166753033e-05
2.15,42.88526239368219,-8.41142734245133,171.00866137623603,-0.013811455740189904,0.009216634865535872,6.091459550772406,0.00200488101648008,0.0003292271381456067,-1.0335489997051423e-05
2.2,42.88526239383037,-8.411427341224273,171.00866085946154,-0.013813122840747677,0.009086381633925947,6.0914587117752435,-0.0008457371738999567,-0.00016759778414176323,-9.263734902687126e-06
2.25,42.885262393754935,-8.411427341741893,171.0086603962748,-0.013815423889858089,0.008932935164721179,6.0914591920352,-0.0024521607206900464,-0.0004340154143957863,5.1205966404504236e-06
2.3,42.8852623935596,-8.4114273432427,171.00866065230463,-0.013818306871611003,0.008792162686453484,6.091461049859835,-0.0032946096072549265,-0.000563794015164123,1.2344475476751403e-05
2.35,42.88526239330586,-8.411427345259117,171.0086612695284,-0.013821430265303856,0.008685684115366254,6.091461538595756,-0.003218609035768554,-0.0005328768796832544,2.0121325994889523e-05
2.4,42.88526239306602,-8.411427347229017,171.0086622755947,-0.013824575513587742,0.008622943022719794,6.091462209233836,-0.0017278709040529745,-0.0002516934306350818,2.839707412869875e-05
2.45,42.88526239295275,-8.411427348286534,171.0086636954484,-0.01382765716642918,0.00855665921797909,6.091462876574385,-0.0022925123681435794,-0.0003489248127326136,2.929629162454505e-05
2.5,42.8852623927957,-8.411427349689632,171.00866516026298,-0.013831052952335271,0.008484619136947336,6.0914637974098635,-0.002070349074195909,-0.00030504679705588403,3.945669413157429e-05
2.550,42.88526239265841,-8.411427350956757,171.00866713309767,-0.013834147575163701,0.008438757671308013,6.091464855395339,-0.0012080518103018735,-0.00014989954186979718,4.4182940723155466e-05
2.6,42.885262392590946,-8.411427351696124,171.0086693422447,-0.013836706931040088,0.008422530154851993,6.091465510444493,-0.00025555584799548744,1.5623288506782144e-05,3.633179160975781e-05
2.65,42.88526239259797,-8.411427351852534,171.0086711588343,-0.013839142623468702,0.008428398914898215,6.091465715736375,0.001878816688758801,0.00039231112453660553,2.747816109816386e-05
2.7,42.885262392774536,-8.411427350702633,171.00867253274234,-0.01383967257230458,0.008497066713524726,6.091465914664891,0.003224875227230518,0.000614150652635048,6.2231441498683415e-06
2.75,42.885262393050944,-8.411427348728896,171.00867284389955,-0.013838517376115689,0.008610632430129828,6.091466672365914,0.004288680874654862,0.0007754776471316852,-4.19513645131933e-06
2.8,42.88526239339997,-8.411427346104075,171.00867263414273,-0.013835956067609892,0.008756235626741512,6.091465916973921,0.005115335681636545,0.0008891631378088318,-9.877991062446023e-06
2.85,42.885262393800154,-8.411427342973312,171.00867214024316,-0.013831952015897092,0.008921746317701252,6.091463909704321,0.005372086152299841,0.0009019522627687082,-1.130013106725091e-05
2.9,42.885262394206094,-8.411427339685408,171.0086715752366,-0.013826988755780468,0.009080334255422626,6.091461792547692,0.004238769139108427,0.0006675352788865435,-1.475762141246748e-05
2.95,42.88526239450653,-8.411427337091135,171.00867083735554,-0.013822117133033537,0.009200146192175861,6.091459147957537,0.002567528285400094,0.00034940781086488,-1.709321609020086e-05
3.0,42.88526239466379,-8.411427335519718,171.00866998269473,-0.013817781781688835,0.00927146532612137,6.091456337525078,0.0011996036686719388,9.893231270717394e-05,-6.2772379458323705e-06
