Time Ax Ay Az Wx Wy Wz
0.0 -0.1252985785833837 -0.13465483290293856 9.802715220498657 -0.005000691641529222 -0.36804350344246817 0.003149843893184353
0.05 -0.1252985785833837 -0.13465483290293856 9.802715220498657 -0.005000691641529222 -0.36804350344246817 0.003149843893184353
0.1 -0.022702894187130562 -0.13578043575745574 9.803757725666813 -0.0060288673753637135 -0.33007269754832214 -5.58163250821618e-05
0.15 -0.01675350797502917 -0.1362304074840825 9.802948492657908 -0.0025339757260520084 -0.07641088347576475 -0.0018073937934471747
0.2 -0.06325186757814578 -0.13597809832287777 9.80218169485192 0.0003057007666589061 0.07127431591249186 0.0014198215449088957
0.25 -0.0933670649761894 -0.13573308873704887 9.802156850585053 0.0016088882945753712 0.1053565546932481 0.004267463506172627
0.3 -0.09587701107582358 -0.1355774333028894 9.802183247546683 0.0013940874677272081 0.05650197677078606 0.004224742929956797
0.35 -0.12259370055253693 -0.13521955961082754 9.801760970922432 0.0026283154582564033 0.0837781128320048 0.004975826835980935
0.4 -0.13660385416214574 -0.13482157171244594 9.80201006653412 0.0011147028863527084 -0.04696058082581608 0.005511371824026588
0.45 -0.10979777335255032 -0.13492171026553199 9.802611265410276 -4.4818837308429904e-05 -0.10433193198833504 0.00422713531368665
0.5 -0.06727069433896958 -0.13528199349938147 9.803160656475537 -0.00088014795472239 -0.1155273277652744 0.0034604261662258638
0.55 -0.04209189979049724 -0.13553282092450028 9.802795706648565 -0.0010913764099201816 -0.07545255571343969 0.0025545431717193265
0.6000000000000001 -0.04835802082786319 -0.13562000261790327 9.802527612970186 -0.00045838243465224943 -0.003257437983565395 0.0004910247449015048
0.65 -0.051511848215895654 -0.13580995834224383 9.802634524704331 0.0003858716381931044 0.07070768821298329 0.0030798216036130605
0.7000000000000001 -0.06697621597979193 -0.13583109997368673 9.802494964835267 0.0013007091753032053 0.13443751917494784 0.004392031582687736
0.75 -0.07280375320132686 -0.13588432848326273 9.802680135660811 0.002141200352799399 0.16596749003203984 0.005465051094472195
0.8 -0.09909709482746755 -0.1355871960792761 9.802273086054823 0.002672813396449099 0.1606312337618427 0.004965936606218252
0.8500000000000001 -0.117579124914918 -0.13533552975828825 9.802203913153447 0.0027776787331513435 0.12992017913605752 0.005659845255100323
0.9 -0.10672542895154301 -0.13536361158890486 9.802576128561826 0.002817908576052245 0.11859362274753858 0.006032900627204686
0.95 -0.1167476850151387 -0.1351205060594676 9.802256274110375 0.0022757492047479943 0.08079002279235488 0.006554750265808991
1.0 -0.12373391527893886 -0.13484719092906064 9.802007805443356 0.0007507664520519625 -0.015531049255333442 0.005449384522650733
1.05 -0.12692305777412335 -0.134608733300332 9.801813822004672 -0.0008920210149217951 -0.11333089136433958 0.003939996089689531
1.1 -0.12789561307764408 -0.13454457859891097 9.801951313433491 -0.0020494917435112405 -0.17897042181126965 0.00214414732975874
1.15 -0.11708322420610857 -0.1345881113473236 9.802261223964459 -0.0032464800710497437 -0.23002114563537088 0.0034041646460674134
1.2000000000000002 -0.09128731667977522 -0.1348236898862579 9.80281355996153 -0.004571019304641955 -0.252823606815962 0.0019464627935763376
1.25 -0.0753716157503464 -0.13503998466513611 9.802792878762725 -0.005181163619127268 -0.23137109324846356 0.0006640657323094649
1.3 -0.05982526954590192 -0.13535772765458598 9.8026991925711 -0.005202411139623771 -0.18367766647710138 -0.0005962795212366153
1.35 -0.04613513142775036 -0.13576526480200257 9.802646153249293 -0.004460776892691132 -0.1015979559691153 0.0003375886440092807
1.4 -0.029403366790026177 -0.13623228765879536 9.802709680911926 -0.0030831057628849753 0.012708451645663584 0.0012451308666045855
1.4500000000000002 -0.0641157577524499 -0.1361500723496927 9.802059804791368 -0.00162006826100537 0.0601118185959261 0.0023557017113322825
1.5 -0.08756387586108455 -0.13607517023613913 9.801888580799146 -0.0007251942941557841 0.054557079434397096 0.0021205467016760004
1.55 -0.08318997138034673 -0.13625545180942725 9.802504736311471 0.0006714647101253543 0.05951893452365653 0.0028058244427109605
1.6 -0.09356946695766064 -0.13609548911239946 9.802386127049287 0.002104412653869385 0.056482250672855595 0.0035830644648612163
1.65 -0.10108978800211937 -0.13582391629867008 9.80245731765141 0.0026835071205990853 0.027372655964752003 0.00444455643357555
1.7000000000000002 -0.10105711991381751 -0.13562545872024326 9.802648389036783 0.0021885832944990363 -0.015220038560060751 0.0034972665876268775
1.75 -0.088503143847966 -0.1355777934568123 9.802464650132514 0.002202908556506375 -0.01309497808361939 0.0031205661480742815
1.8 -0.0731828159931698 -0.13564130699823274 9.80238287432623 0.002708802963691142 0.030933708414291276 0.0016259661017310077
1.85 -0.06259844237546983 -0.13574773212243374 9.802436748423844 0.003361838770078262 0.0984425032754791 0.003418872750716092
1.9 -0.021834643728246436 -0.13630237771299675 9.802856444751022 0.0035620420664972357 0.18042451322157535 0.004648641208181666
1.95 -0.07671740013348483 -0.135745601211846 9.802192749138792 0.004208322977859841 0.19226459942057425 0.005658323945931168
2.0 -0.09260446100157874 -0.13547675717202654 9.802466656834241 0.003561416971520005 0.1415548899049532 0.005833207853651214
2.0500000000000003 -0.08598393725297342 -0.1354253775887506 9.80287040851174 0.0029797114534957504 0.0959230776475927 0.005871989155450287
