T Lat Lon Hsns Ve Vn SNS_GOOD Shassi
0.0 42.88526239312976 -8.411427348551893 171.00866908223665 -0.0046296489988853 -0.000855520545623 1 1
0.05 42.88526239274472 -8.411427351385397 171.00866699046946 -0.0061859066550987 -0.0011259000469849 1 1
0.1 42.88526239223799 -8.411427355171387 171.00866650363423 -0.0028516286849418 -0.0005019163576001 1 1
0.15 42.885262392012095 -8.411427356916683 171.0086678705977 0.0006383007647062 0.0001316230314496 1 1
0.2 42.88526239207133 -8.411427356526021 171.0086690002059 0.001809696375359 0.0003291110487521 1 1
0.25 42.88526239221946 -8.411427355418423 171.00866901183812 0.0015292526229907 0.0002575799518656 1 1
0.3 42.88526239233539 -8.411427354482468 171.00866850431498 0.0011672282172966 0.0001777144203903 1 1
0.35 42.88526239241538 -8.411427353768083 171.00866759598637 -0.0004871204287614 -0.0001352400330919 1 1
0.4 42.885262392354505 -8.411427354066218 171.00866582552587 -0.0027987284698712 -0.0005561295513081 1 1
0.45 42.88526239210421 -8.41142735577914 171.00866412745512 -0.0038143632201862 -0.0007305839237148 1 1
0.5 42.8852623917754 -8.41142735811366 171.00866339259937 -0.0027841216619231 -0.0005259281725239 1 1
0.55 42.885262391538696 -8.411427359817639 171.00866404421083 -0.0005656115303068 -0.0001032097771026 1 1
0.6000000000000001 42.88526239149225 -8.411427360163811 171.00866462400785 0.0013130281007701 0.0002496629003174 1 1
0.65 42.88526239160461 -8.411427359360193 171.00866461147464 0.0030360038963004 0.0005631816264456 1 1
0.7000000000000001 42.885262391858085 -8.411427357502053 171.00866435102955 0.0040285333537884 0.0007339150528845 1 1
0.75 42.8852623921884 -8.41142735503645 171.00866383332234 0.004790871232154 0.0008570914055407 1 1
0.8 42.88526239257415 -8.41142735210427 171.00866364850782 0.0043282832011397 0.000756830741627 1 1
0.8500000000000001 42.88526239291478 -8.411427349455211 171.00866336429235 0.0030225112825936 0.0005048741149576 1 1
0.9 42.885262393142014 -8.41142734760533 171.00866323078105 0.002303371079234 0.0003645657115187 1 1
0.95 42.88526239330609 -8.411427346195586 171.00866393139918 0.0011386464994904 0.0001489965323955 1 1
1.0 42.88526239337315 -8.411427345498694 171.0086648994465 -0.000338825109303 -0.0001142477009931 1 1
1.05 42.88526239332173 -8.41142734570607 171.0086656750393 -0.0019828970979645 -0.0003978930007863 1 1
1.1 42.88526239314265 -8.411427346919668 171.0086658395477 -0.0037242093353145 -0.0006964125319553 1 1
1.15 42.88526239282922 -8.411427349199014 171.00866574836883 -0.0050109090435707 -0.0009076158184878 1 1
1.2000000000000002 42.88526239242073 -8.411427352265864 171.00866591192678 -0.0051271822622981 -0.0009017510123576 1 1
1.25 42.88526239201487 -8.411427355403877 171.00866711930192 -0.0045680374072274 -0.000773676262631 1 1
1.3 42.88526239166666 -8.411427358199676 171.008668971932 -0.0033417049879694 -0.0005299356257971 1 1
1.35 42.88526239142816 -8.411427360244916 171.00867091580275 -0.0015184056130185 -0.0001886834169635 1 1
1.4 42.88526239134324 -8.411427361174232 171.00867255202917 0.0010862866739624 0.0002825805409772 1 1
1.4500000000000002 42.88526239147042 -8.411427360509386 171.0086737130928 0.0019900029530552 0.0004292026863105 1 1
1.5 42.8852623916636 -8.411427359291435 171.0086735008304 0.0017658627732943 0.0003616923718074 1 1
1.55 42.88526239182638 -8.411427358210666 171.008671978333 0.001779857104712 0.0003321921742459 1 1
1.6 42.88526239197589 -8.411427357121335 171.00867059949434 0.0013065918148735 0.0002161937711559 1 1
1.65 42.8852623920732 -8.411427356321653 171.00866928414993 0.0004842426685418 4.569206803531797e-05 1 1
1.7000000000000002 42.88526239209376 -8.41142735602528 171.00866836349508 -0.0003279033219421 -0.000113516905889 1 1
1.75 42.88526239204268 -8.411427356225968 171.0086683082486 -0.0005318631748854 -0.0001531666793498 1 1
1.8 42.88526239197373 -8.411427356551487 171.00866838657788 1.012535615566554e-05 -5.213220440130401e-05 1 1
1.85 42.88526239195026 -8.411427356545289 171.0086680670762 0.0010845737907681 0.0001458676703947 1 1
1.9 42.88526239201592 -8.411427355881493 171.00866725962 0.0042055754810505 0.0007116640360005 1 1
1.95 42.885262392336216 -8.411427353307536 171.00866614178958 0.0047020265475765 0.0007949369653996 1 1
2.0 42.885262392694 -8.411427350429731 171.00866422588103 0.004496017101986 0.0007542427539922 1 1
2.0500000000000003 42.88526239303346 -8.411427347678012 171.0086625410709 0.0046730620541143 0.000789438185533 1 1
2.1 42.88526239338877 -8.411427344817938 171.0086619446096 0.0038667879499068 0.0006519495151434 1 1
2.15 42.88526239368219 -8.41142734245133 171.00866137623603 0.00200488101648 0.0003292271381456 1 1
2.2 42.88526239383037 -8.411427341224273 171.00866085946154 -0.0008457371738999 -0.0001675977841417 1 1
2.25 42.885262393754935 -8.411427341741893 171.0086603962748 -0.00245216072069 -0.0004340154143957 1 1
2.3000000000000003 42.8852623935596 -8.4114273432427 171.00866065230463 -0.0032946096072549 -0.0005637940151641 1 1
2.35 42.88526239330586 -8.411427345259117 171.0086612695284 -0.0032186090357685 -0.0005328768796832 1 1
2.4000000000000004 42.88526239306602 -8.411427347229017 171.0086622755947 -0.0017278709040529 -0.000251693430635 1 1
2.45 42.885262392952754 -8.411427348286534 171.0086636954484 -0.0022925123681435 -0.0003489248127326 1 1
2.5 42.8852623927957 -8.411427349689632 171.00866516026298 -0.0020703490741959 -0.0003050467970558 1 1
2.5500000000000003 42.88526239265841 -8.411427350956757 171.00866713309767 -0.0012080518103018 -0.0001498995418697 1 1
2.6 42.88526239259095 -8.411427351696124 171.0086693422447 -0.0002555558479954 1.5623288506782144e-05 1 1
2.6500000000000004 42.88526239259797 -8.411427351852536 171.0086711588343 0.0018788166887588 0.0003923111245366 1 1
2.7 42.885262392774536 -8.411427350702633 171.00867253274234 0.0032248752272305 0.000614150652635 1 1
2.75 42.885262393050944 -8.411427348728896 171.00867284389955 0.0042886808746548 0.0007754776471316 1 1
2.8000000000000003 42.88526239339997 -8.411427346104075 171.00867263414273 0.0051153356816365 0.0008891631378088 1 1
2.85 42.88526239380016 -8.411427342973312 171.00867214024316 0.0053720861522998 0.0009019522627687 1 1
2.9000000000000004 42.885262394206094 -8.411427339685408 171.0086715752366 0.0042387691391084 0.0006675352788865 1 1
2.95 42.88526239450653 -8.411427337091135 171.00867083735554 0.0025675282854 0.0003494078108648 1 1
